City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Akdepe,TM,42.06,59.38,8.6,84,0,4.7,clear sky
84,Bandar-E Anzali,IR,37.47,49.46,47.01,73,60,2.01,broken clouds
85,Cherskiy,RU,68.75,161.3,-18.99,88,100,4.12,overcast clouds
86,Viedma,AR,-40.81,-63.0,73.99,19,36,4.0,scattered clouds
87,Yulara,AU,-25.24,130.99,78.8,61,89,1.12,overcast clouds
88,Durham,US,36.03,-78.87,64.99,81,96,3.8,overcast clouds
89,Kahului,US,20.89,-156.47,82.4,58,40,5.82,scattered clouds
90,Aswan,EG,24.09,32.91,69.04,31,27,7.11,scattered clouds
91,Walla Walla,US,46.06,-118.34,39.0,75,90,10.29,light rain
92,Cabo San Lucas,MX,22.89,-109.91,78.8,64,20,11.41,few clouds
93,Rauma,FI,61.13,21.51,26.6,86,90,5.82,overcast clouds
94,Flinders,AU,-34.58,150.86,70.0,89,78,3.0,broken clouds
95,Hilo,US,19.73,-155.09,80.6,69,90,9.17,overcast clouds
96,Aksu,CN,41.12,80.26,17.17,94,0,1.74,clear sky
97,Norman Wells,CA,65.28,-126.83,-38.2,72,20,4.7,few clouds
98,Arlit,NE,18.74,7.39,74.03,15,0,6.13,clear sky
99,Arraial Do Cabo,BR,-22.97,-42.03,78.8,78,75,10.29,heavy intensity rain
100,Debre Tabor,ET,11.85,38.02,51.91,44,0,2.73,clear sky
101,Valdivia,CL,-39.81,-73.25,62.6,48,29,12.75,scattered clouds
102,Tasiilaq,GL,65.61,-37.64,37.4,64,100,15.86,light snow
103,Coihaique,CL,-45.58,-72.07,53.6,58,90,13.87,light intensity shower rain
104,Snasa,NO,64.25,12.38,33.8,80,0,5.82,clear sky
105,Presidente Epitacio,BR,-21.76,-52.12,82.58,64,5,2.93,light rain
106,Baherden,TM,38.44,57.43,29.7,84,0,8.32,clear sky
107,Moerai,PF,-22.43,-151.33,77.31,67,82,2.89,broken clouds
108,Dikson,RU,73.51,80.55,-3.87,92,100,11.99,overcast clouds
109,Segovia,ES,41.17,-4.0,45.0,92,99,4.14,overcast clouds
110,Iqaluit,CA,63.75,-68.51,10.4,66,40,12.75,scattered clouds
111,Punta Alta,AR,-38.88,-62.07,69.04,36,15,12.75,few clouds
112,Vaini,TO,-21.2,-175.2,82.4,83,20,14.99,moderate rain
113,Mackay,AU,-21.15,149.2,78.01,64,64,8.05,broken clouds
114,Kibondo,TZ,-3.59,30.72,59.92,100,100,2.17,overcast clouds
115,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,33.8,74,90,8.95,shower snow
116,Fairbanks,US,64.84,-147.72,6.8,70,75,6.93,broken clouds
117,Road Town,VG,18.42,-64.62,80.01,91,22,5.01,few clouds
118,Bengkulu,ID,-3.8,102.27,74.57,85,100,2.15,overcast clouds
119,Ambovombe,MG,-25.17,46.08,69.96,80,0,7.45,clear sky
120,Ciudad Bolivar,VE,8.12,-63.55,82.74,64,100,11.21,light rain
121,Sur,OM,22.57,59.53,70.95,49,0,11.74,clear sky
122,Bredasdorp,ZA,-34.53,20.04,59.0,82,68,4.7,broken clouds
123,Lloydminster,CA,53.28,-110.0,-4.0,70,20,4.18,few clouds
124,Vrede,ZA,-27.43,29.17,61.09,83,64,6.44,broken clouds
125,Cap Malheureux,MU,-19.98,57.61,73.99,83,20,3.0,few clouds
126,Carnarvon,AU,-24.87,113.63,66.2,77,1,17.22,clear sky
127,Cayenne,GF,4.93,-52.33,82.4,74,0,4.7,clear sky
128,Hobyo,SO,5.35,48.53,78.26,76,25,19.53,light rain
129,Buala,SB,-8.14,159.59,84.56,68,94,2.08,light rain
130,Kathu,TH,7.92,98.33,84.0,94,40,2.24,scattered clouds
131,Boa Vista,BR,2.82,-60.67,89.6,49,40,9.17,scattered clouds
132,Bozova,TR,37.36,38.53,42.8,100,90,6.93,fog
133,Beaverlodge,CA,55.22,-119.44,-2.2,77,75,6.93,broken clouds
134,Geraldton,AU,-28.77,114.6,53.6,81,0,4.7,clear sky
135,Filingue,NE,14.35,3.32,81.28,16,0,7.23,clear sky
136,Chaumont,FR,48.12,5.13,41.0,89,93,1.01,overcast clouds
137,Karpathos,GR,35.51,27.21,62.6,77,100,29.97,overcast clouds
138,Narsaq,GL,60.92,-46.05,26.6,86,75,2.24,light snow
139,Kloulklubed,PW,7.04,134.26,80.6,83,75,5.82,broken clouds
140,Hamilton,US,39.18,-84.53,43.0,75,90,3.36,overcast clouds
141,San Patricio,US,28.02,-97.52,82.4,58,75,24.16,broken clouds
142,Ilulissat,GL,69.22,-51.1,24.8,73,100,6.93,light shower snow
143,Vao,NC,-22.67,167.48,77.04,80,86,24.38,light rain
144,Luwingu,ZM,-10.26,29.93,61.52,96,100,1.77,overcast clouds
145,Ozinki,RU,51.18,49.68,11.73,93,100,10.29,overcast clouds
146,Matola,MZ,-25.96,32.46,78.8,83,40,5.82,scattered clouds
147,Muros,ES,42.78,-9.06,59.0,85,67,18.01,broken clouds
148,Georgetown,MY,5.41,100.34,78.8,94,20,2.24,few clouds
149,Luderitz,NA,-26.65,15.16,59.0,87,0,17.22,clear sky
150,Freeport,US,40.66,-73.58,55.4,54,75,16.11,broken clouds
151,Saint-Philippe,RE,-21.36,55.77,73.4,88,75,14.99,light rain
152,Bom Jardim,BR,-7.8,-35.59,77.0,78,75,14.99,broken clouds
153,Kokoda,PG,-8.88,147.74,82.22,59,99,0.63,overcast clouds
154,Lavrentiya,RU,65.58,-171.0,15.62,84,100,35.25,overcast clouds
155,Vardo,NO,70.37,31.11,32.0,88,75,14.99,shower rain
156,East London,ZA,-33.02,27.91,70.52,82,55,12.41,broken clouds
157,Puerto Suarez,BO,-18.95,-57.8,93.2,52,40,10.29,scattered clouds
158,Japura,ID,-0.32,102.35,73.69,96,100,1.81,overcast clouds
159,Yaan,NG,7.38,8.57,83.23,51,66,7.27,broken clouds
160,Killybegs,IE,54.63,-8.45,48.99,93,96,11.01,overcast clouds
161,Kununurra,AU,-15.77,128.73,82.4,83,100,6.93,overcast clouds
162,Myaundzha,RU,63.05,147.19,-16.74,84,100,3.42,overcast clouds
163,Kamenka,RU,51.32,42.77,16.57,94,88,12.33,overcast clouds
164,Nanortalik,GL,60.14,-45.24,30.97,96,100,13.04,overcast clouds
165,Saldanha,ZA,-33.01,17.94,57.2,76,73,3.36,broken clouds
166,Pangnirtung,CA,66.15,-65.71,-5.8,58,75,9.17,broken clouds
167,Ostrovnoy,RU,68.05,39.51,23.52,97,95,7.38,overcast clouds
168,Olinda,BR,-8.01,-34.86,78.8,69,40,12.75,scattered clouds
169,Sampit,ID,-2.53,112.95,73.2,95,100,0.31,overcast clouds
170,Lasa,IT,46.62,10.7,32.0,86,5,5.82,clear sky
171,Ostersund,SE,63.18,14.64,33.8,97,90,9.17,overcast clouds
172,Rio Grande,BR,-32.03,-52.1,78.8,69,75,13.87,light rain
173,Esperance,AU,-33.87,121.9,57.2,87,75,10.29,broken clouds
174,Isangel,VU,-19.55,169.27,86.0,74,75,9.17,broken clouds
175,Nizwa,OM,22.93,57.53,54.28,73,0,1.16,clear sky
176,Kruisfontein,ZA,-34.0,24.73,64.99,94,9,1.01,clear sky
177,Carbonear,CA,47.73,-53.21,30.99,92,90,17.22,fog
178,Koubia,GN,11.58,-11.9,70.05,32,5,3.83,clear sky
179,Balabac,PH,7.99,117.06,81.48,78,96,6.2,overcast clouds
180,Pringsewu,ID,-5.36,104.97,72.95,93,100,3.62,overcast clouds
181,Ribeira Grande,PT,38.52,-28.7,59.0,58,40,20.8,light rain
182,Krasnogvardeyets,RU,52.68,52.36,8.83,93,100,3.51,overcast clouds
183,Fortuna,US,40.6,-124.16,55.0,84,99,8.05,overcast clouds
184,Oktyabrskiy,RU,54.48,53.47,6.42,92,86,4.18,overcast clouds
185,Saltillo,MX,25.42,-101.0,75.2,38,40,6.93,scattered clouds
186,Goderich,CA,43.75,-81.72,33.8,74,100,6.93,overcast clouds
187,Belyy Yar,RU,53.6,91.39,21.2,62,20,13.42,few clouds
188,North Battleford,CA,52.78,-108.28,-7.6,69,1,5.82,clear sky
189,Pevek,RU,69.7,170.31,5.47,91,100,1.7,overcast clouds
190,Nuevitas,CU,21.55,-77.26,82.4,69,20,12.75,few clouds
191,Okha,RU,53.57,142.95,10.65,96,90,12.88,overcast clouds
192,Qaanaaq,GL,77.48,-69.36,25.68,93,100,5.5,overcast clouds
193,Lanigan,CA,51.85,-105.03,-5.8,70,0,10.29,clear sky
194,Wajima,JP,37.4,136.9,41.0,91,100,21.81,light rain
195,Asau,RO,46.43,26.4,34.0,96,66,3.38,broken clouds
196,Nicoya,CR,10.15,-85.45,91.4,43,0,14.99,clear sky
197,Verkhoyansk,RU,67.54,133.38,-43.42,71,3,1.23,clear sky
198,Chokurdakh,RU,70.63,147.92,-20.04,88,100,6.15,overcast clouds
199,Constitucion,CL,-35.33,-72.42,66.15,44,2,20.31,clear sky
200,Dubbo,AU,-32.25,148.62,71.6,53,64,19.46,broken clouds
201,Yining,CN,29.04,114.56,35.67,90,100,6.29,light rain
202,Prince Rupert,CA,54.32,-130.32,44.6,48,90,9.17,overcast clouds
203,Santa Maria,BR,-29.68,-53.81,75.56,84,67,5.23,broken clouds
204,Canutama,BR,-6.53,-64.38,82.54,76,81,1.63,light rain
205,Galle,LK,6.04,80.22,75.7,87,92,2.19,overcast clouds
206,Ahipara,NZ,-35.17,173.17,67.66,56,54,4.0,broken clouds
207,Victor Harbor,AU,-35.57,138.62,81.0,45,72,5.01,broken clouds
208,Batagay-Alyta,RU,67.8,130.41,-34.04,67,0,1.83,clear sky
209,Talnakh,RU,69.49,88.4,-13.0,83,0,4.47,clear sky
210,Mar Del Plata,AR,-38.0,-57.56,66.2,39,0,6.93,clear sky
211,Hitchin,GB,51.95,-0.27,52.0,93,90,13.87,overcast clouds
212,Kaniama,CD,-7.57,24.18,63.86,99,95,1.54,overcast clouds
213,Axim,GH,4.87,-2.24,79.09,85,100,6.15,overcast clouds
214,Zhigansk,RU,66.77,123.37,-43.08,78,62,14.52,broken clouds
215,Ouargaye,BF,11.5,0.06,78.84,19,0,1.07,clear sky
216,Dawlatabad,AF,36.41,64.91,26.91,96,100,2.42,overcast clouds
217,Provideniya,RU,64.38,-173.3,19.4,85,90,24.61,mist
218,Te Anau,NZ,-45.42,167.72,58.57,56,19,0.92,few clouds
219,Pagudpud,PH,18.56,120.79,75.2,94,20,3.36,few clouds
220,Hambantota,LK,6.12,81.12,73.4,100,0,3.36,clear sky
221,Ishigaki,JP,24.34,124.16,68.0,88,75,16.11,broken clouds
222,Chicama,PE,-7.84,-79.15,66.2,88,90,6.93,overcast clouds
223,Turayf,SA,31.67,38.66,55.4,50,40,9.17,scattered clouds
224,Dryden,CA,49.78,-92.75,17.6,92,90,6.93,light snow
225,Elizabeth City,US,36.29,-76.25,66.2,82,40,6.93,scattered clouds
226,Borba,BR,-4.39,-59.59,82.08,71,99,1.86,overcast clouds
227,Half Moon Bay,US,37.46,-122.43,59.0,100,90,6.93,fog
228,Ust-Kuyga,RU,70.02,135.6,-41.91,78,55,5.77,broken clouds
229,Sistranda,NO,63.73,8.83,33.8,86,0,10.29,clear sky
230,Rundu,NA,-17.93,19.77,71.08,72,83,4.74,broken clouds
231,Kendari,ID,-3.94,122.5,75.99,92,100,4.07,moderate rain
232,Ngunguru,NZ,-35.62,174.5,70.0,58,74,8.01,broken clouds
233,Egvekinot,RU,66.32,-179.17,11.8,91,100,16.53,overcast clouds
234,Vostok,RU,46.49,135.88,-14.21,91,95,4.34,overcast clouds
235,Haines Junction,CA,60.75,-137.51,5.0,84,100,2.24,overcast clouds
236,Nuuk,GL,64.18,-51.72,17.6,78,100,10.29,overcast clouds
237,Saint-Augustin,CA,51.23,-58.65,19.04,92,100,17.56,overcast clouds
238,Honavar,IN,14.28,74.45,73.08,63,0,4.54,clear sky
239,Port Hawkesbury,CA,45.62,-61.35,39.99,93,90,9.17,light rain
240,Oranjestad,AW,12.52,-70.03,84.2,70,20,20.8,few clouds
241,Bereda,ES,43.27,-7.54,55.99,99,99,11.99,overcast clouds
242,Mareeba,AU,-17.0,145.43,78.8,74,90,1.52,light rain
243,Antsohihy,MG,-14.88,47.99,75.45,78,77,5.68,broken clouds
244,San Vicente,AR,-26.62,-54.13,66.63,98,81,4.03,light rain
245,Avila,ES,40.58,-5.0,43.0,92,98,4.68,overcast clouds
246,Solhan,TR,38.96,41.03,39.13,84,100,1.97,overcast clouds
247,Katsuura,JP,35.13,140.3,55.99,50,75,14.99,broken clouds
248,Krasnoselkup,RU,65.7,82.47,6.71,95,99,11.81,overcast clouds
249,Mongo,TD,12.18,18.69,74.32,20,98,4.12,overcast clouds
250,Oktyabrskoye,RU,43.06,44.74,24.8,100,14,2.24,few clouds
251,Kapit,MY,2.02,112.93,73.11,94,100,1.07,overcast clouds
252,Sao Filipe,CV,14.9,-24.5,75.27,74,24,4.27,few clouds
253,Guerrero Negro,MX,27.98,-114.06,72.55,20,0,17.38,clear sky
254,Srivaikuntam,IN,8.62,77.93,74.41,81,67,8.68,broken clouds
255,Henties Bay,NA,-22.12,14.28,62.01,90,21,3.4,few clouds
256,Clovis,US,36.83,-119.7,53.6,71,90,11.41,light rain
257,Trincomalee,LK,8.57,81.23,77.56,72,82,12.01,broken clouds
258,Diamantina,BR,-18.25,-43.6,64.35,86,100,4.0,overcast clouds
259,Wanning,CN,18.8,110.4,73.08,91,90,6.06,overcast clouds
260,Byron Bay,AU,-28.65,153.62,71.6,83,90,27.51,light rain
261,Marsa Matruh,EG,31.35,27.25,60.8,82,75,12.75,broken clouds
262,La Belgica,BO,-17.55,-63.22,84.2,66,40,21.92,scattered clouds
263,Antalaha,MG,-14.9,50.28,73.99,79,50,8.57,scattered clouds
264,Yambio,SS,4.57,28.4,73.85,49,43,1.86,scattered clouds
265,Sorong,ID,-0.88,131.25,79.39,83,86,4.97,overcast clouds
266,Deputatskiy,RU,69.3,139.9,-24.07,87,100,2.21,overcast clouds
267,Ylojarvi,FI,61.56,23.6,26.6,92,90,1.12,overcast clouds
268,Kultuk,RU,51.72,103.7,1.35,78,76,5.84,broken clouds
