City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
74,Avarua,-21.21,-159.78,77,94,0,6.93,CK,12/5/2020 14:41
75,Vaini,-21.2,-175.2,75.2,88,75,6.93,TO,12/5/2020 14:41
76,Busselton,-33.65,115.33,52.29,83,0,7.78,AU,12/5/2020 14:41
77,Slave Lake,55.28,-114.77,23,85,1,4.7,CA,12/5/2020 14:41
78,Fare,-16.7,-151.02,80.1,78,100,17.78,PF,12/5/2020 14:41
79,San Patricio,28.02,-97.52,51.8,66,90,6.93,US,12/5/2020 14:41
80,Codrington,-38.27,141.97,51.13,78,83,16.89,AU,12/5/2020 14:41
81,Souillac,-20.52,57.52,80.6,74,75,4.7,MU,12/5/2020 14:41
82,Nicoya,10.15,-85.45,82.4,65,0,13.87,CR,12/5/2020 14:41
83,Qaanaaq,77.48,-69.36,-14.17,68,0,7,GL,12/5/2020 14:41
84,Obo,5.4,26.49,90.28,27,83,2.89,CF,12/5/2020 14:41
85,Severnoye,56.35,78.36,5.41,94,97,5.57,RU,12/5/2020 14:41
86,Nemuro,43.32,145.57,38.77,73,0,20.31,JP,12/5/2020 14:41
87,Mar Del Plata,-38,-57.56,59,54,20,8.05,AR,12/5/2020 14:39
88,Madrid,40.42,-3.7,46,58,40,10.29,ES,12/5/2020 14:41
89,Portland,45.52,-122.68,43,64,1,14.99,US,12/5/2020 14:40
90,Te Anau,-45.42,167.72,40.57,86,56,0.85,NZ,12/5/2020 14:41
91,Suihua,46.64,127,3.33,94,4,6.55,CN,12/5/2020 14:41
92,Qaqortoq,60.72,-46.03,33.8,80,75,3.36,GL,12/5/2020 14:41
93,Marawi,8,124.29,78.01,92,98,3,PH,12/5/2020 14:41
94,Torbay,47.67,-52.73,48.2,87,75,14.99,CA,12/5/2020 14:41
95,Flinders,-34.58,150.86,73,60,40,19.46,AU,12/5/2020 14:41
96,Poddorye,57.47,31.12,32.43,94,100,12.03,RU,12/5/2020 14:41
97,Mahebourg,-20.41,57.7,80.6,74,75,4.7,MU,12/5/2020 14:41
98,Honiara,-9.43,159.95,77,94,40,4.7,SB,12/5/2020 14:37
99,Alice Springs,-23.7,133.88,80.6,65,75,3.36,AU,12/5/2020 14:41
100,Verkhnyaya Toyma,62.23,45,25.5,97,100,7.09,RU,12/5/2020 14:41
101,Talara,-4.58,-81.27,73.4,69,0,16.11,PE,12/5/2020 14:41
102,Berlevag,70.86,29.09,30.2,86,75,32.21,NO,12/5/2020 14:41
103,Kudahuvadhoo,2.67,72.89,81.97,78,62,13.33,MV,12/5/2020 14:41
104,Comodoro Rivadavia,-45.87,-67.5,69.8,49,0,6.93,AR,12/5/2020 14:40
105,Tual,-5.67,132.75,84.76,69,93,2.77,ID,12/5/2020 14:41
106,Athabasca,54.72,-113.29,26.6,73,0,4.7,CA,12/5/2020 14:40
107,Luderitz,-26.65,15.16,68.02,67,3,19.86,NA,12/5/2020 14:41
108,Bambous Virieux,-20.34,57.76,80.6,74,75,4.7,MU,12/5/2020 14:41
109,Jamestown,42.1,-79.24,35.01,94,90,9.17,US,12/5/2020 14:39
110,Sola,-13.88,167.55,78.37,87,54,1.23,VU,12/5/2020 14:41
111,Geraldton,-28.77,114.6,66.2,72,40,17.22,AU,12/5/2020 14:41
112,Kruisfontein,-34,24.73,75,64,17,10,ZA,12/5/2020 14:41
113,Tevriz,57.51,72.4,6.21,95,63,4.7,RU,12/5/2020 14:41
114,Hami,42.8,93.45,20.12,81,81,4.65,CN,12/5/2020 14:41
115,Atuona,-9.8,-139.03,78.21,71,98,17.72,PF,12/5/2020 14:41
116,Sobolevo,54.43,31.9,26.24,95,0,11.97,RU,12/5/2020 14:41
117,Great Yarmouth,52.61,1.73,46.4,65,40,6.85,GB,12/5/2020 14:40
118,Abong Mbang,3.98,13.18,91.51,24,7,5.1,CM,12/5/2020 14:41
119,Strezhevoy,60.73,77.59,19.4,92,90,4.47,RU,12/5/2020 14:41
120,Sabha,27.04,14.43,77.95,16,0,17.16,LY,12/5/2020 14:41
121,Ambovombe,-25.17,46.08,72.19,73,91,19.24,MG,12/5/2020 14:41
122,Buenos Aires,-34.61,-58.38,68,48,40,9.17,AR,12/5/2020 14:41
123,Abiramam,9.47,78.45,78.8,74,40,5.82,IN,12/5/2020 14:41
124,Sambava,-14.27,50.17,79.09,78,43,6.78,MG,12/5/2020 14:41
125,Danielskuil,-28.19,23.54,80.26,27,71,13.56,ZA,12/5/2020 14:41
126,Lasa,46.62,10.7,30.2,92,90,2.24,IT,12/5/2020 14:41
127,Chapais,49.78,-74.85,17.6,85,90,4.7,CA,12/5/2020 14:41
128,Cabinda,-5.55,12.2,76.08,91,100,9.01,AO,12/5/2020 14:41
129,Bredasdorp,-34.53,20.04,71.6,60,33,18.34,ZA,12/5/2020 14:41
130,Iquique,-20.22,-70.14,69.8,64,0,13.87,CL,12/5/2020 14:41
131,Aklavik,68.22,-135.01,-22,74,5,2.21,CA,12/5/2020 14:41
132,Tuatapere,-46.13,167.68,48,81,88,1.99,NZ,12/5/2020 14:42
133,Bom Jardim,-7.8,-35.59,87.8,48,75,16.11,BR,12/5/2020 14:42
134,Srednekolymsk,67.45,153.68,-27.02,86,62,0.67,RU,12/5/2020 14:42
135,New Norfolk,-42.78,147.06,55,71,47,3,AU,12/5/2020 14:42
136,Chuy,-33.7,-53.46,61.11,55,98,8.55,UY,12/5/2020 14:42
137,Iberia,29.95,-91.75,46,93,1,6.93,US,12/5/2020 14:41
138,Port Macquarie,-31.43,152.92,78.8,74,75,6.93,AU,12/5/2020 14:42
139,Santa Fe,-31.63,-60.7,73,34,0,4,AR,12/5/2020 14:39
140,Guerrero Negro,27.98,-114.06,54.79,37,0,3.4,MX,12/5/2020 14:42
141,Kuala Terengganu,5.33,103.14,80.6,83,40,3.36,MY,12/5/2020 14:42
142,Airai,-8.93,125.41,63.07,100,100,1.21,TL,12/5/2020 14:42
143,Campoverde,-8.48,-74.81,77,83,75,5.82,PE,12/5/2020 14:42
144,Sandata,46.27,41.76,28.09,81,0,16.46,RU,12/5/2020 14:42
145,Barrow,71.29,-156.79,8.6,71,90,25.28,US,12/5/2020 14:42
146,Tuktoyaktuk,69.45,-133.04,-5.8,76,5,9.17,CA,12/5/2020 14:42
147,Moerai,-22.43,-151.33,78.75,80,100,12.8,PF,12/5/2020 14:42
148,La Paz,-16.5,-68.15,50,76,75,4.7,BO,12/5/2020 14:41
149,Villa Rica,33.73,-84.92,39.99,91,0,7,US,12/5/2020 14:42
150,Honningsvag,70.98,25.97,35.1,84,100,12.15,NO,12/5/2020 14:42
151,Upernavik,72.79,-56.15,6.48,92,96,15.01,GL,12/5/2020 14:42
152,East London,-33.02,27.91,66.2,88,90,17.22,ZA,12/5/2020 14:42
153,Saldanha,-33.01,17.94,86,25,0,16.11,ZA,12/5/2020 14:42
154,Dunedin,-45.87,170.5,51.01,78,48,7.76,NZ,12/5/2020 14:42
155,Oktyabrskiy,54.48,53.47,4.01,89,0,2.51,RU,12/5/2020 14:42
156,Severo-Kurilsk,50.68,156.12,28.74,93,100,11.54,RU,12/5/2020 14:42
157,Kutum,14.2,24.67,82.51,15,0,6.17,SD,12/5/2020 14:42
158,Tasiilaq,65.61,-37.64,24.8,68,75,5.82,GL,12/5/2020 14:42
159,Pahrump,36.21,-115.98,35.6,12,1,4.7,US,12/5/2020 14:39
160,Inirida,3.87,-67.92,87.04,66,100,2.68,CO,12/5/2020 14:42
161,Rafraf,37.19,10.18,69.8,49,40,9.17,TN,12/5/2020 14:42
162,Beloha,-25.17,45.05,73.62,63,63,16.78,MG,12/5/2020 14:42
163,Hasaki,35.73,140.83,44.6,93,75,4.7,JP,12/5/2020 14:42
164,Chokurdakh,70.63,147.92,-28.95,85,90,7.11,RU,12/5/2020 14:42
165,Naze,28.37,129.48,66.2,88,90,17.22,JP,12/5/2020 14:42
166,Berdigestyakh,62.1,126.7,-8.03,90,100,6.8,RU,12/5/2020 14:42
167,Kodiak,57.79,-152.41,21.2,79,1,9.17,US,12/5/2020 14:42
168,Barra Do Garcas,-15.89,-52.26,93.2,41,0,4.7,BR,12/5/2020 14:42
169,Half Moon Bay,37.46,-122.43,46.4,65,1,2.48,US,12/5/2020 14:42
170,Grand Gaube,-20.01,57.66,75,88,97,8.46,MU,12/5/2020 14:42
171,Russell,32.35,-85.2,43,93,1,5.82,US,12/5/2020 14:42
172,Port Blair,11.67,92.75,80.4,75,70,14.58,IN,12/5/2020 14:42
173,Boyolangu,-8.12,111.89,75.9,91,100,4.83,ID,12/5/2020 14:42
174,Tanout,14.97,8.89,92.19,11,12,5.23,NE,12/5/2020 14:42
175,Port Alfred,-33.59,26.89,70.56,74,29,24.67,ZA,12/5/2020 14:42
176,Nizhnevartovsk,60.93,76.55,19.4,92,90,4.47,RU,12/5/2020 14:42
177,La Rioja,42.25,-2.5,46.99,65,75,16.11,ES,12/5/2020 14:42
178,Monrovia,6.3,-10.8,89.6,66,75,9.17,LR,12/5/2020 14:37
179,Namatanai,-3.67,152.43,80.83,71,100,8.93,PG,12/5/2020 14:42
180,Sterlibashevo,53.44,55.26,5.85,94,8,3.96,RU,12/5/2020 14:42
181,Trairi,-3.28,-39.27,89.42,50,15,15.75,BR,12/5/2020 14:38
182,Vao,-22.67,167.48,74.3,85,10,17.38,NC,12/5/2020 14:42
183,Pontianak,-0.03,109.33,74.71,88,100,3.67,ID,12/5/2020 14:42
184,Sabzevar,36.21,57.68,50,53,20,1.77,IR,12/5/2020 14:42
185,Fort Nelson,58.81,-122.7,28.4,92,90,4.7,CA,12/5/2020 14:42
186,Georgetown,5.41,100.34,82.4,74,20,6.93,MY,12/5/2020 14:39
187,Tyrma,50.08,132.17,4.37,93,15,1.88,RU,12/5/2020 14:42
188,Oum Hadjer,13.3,19.7,96.08,10,0,1.61,TD,12/5/2020 14:42
189,Sinnamary,5.38,-52.95,82.51,76,49,5.37,GF,12/5/2020 14:42
190,Dukat,62.55,155.55,-3.98,91,100,4.38,RU,12/5/2020 14:42
191,Lata,40.16,-8.33,54,81,32,1.01,PT,12/5/2020 14:42
192,Nouadhibou,20.93,-17.03,77,53,0,17.22,MR,12/5/2020 14:42
193,Hun,29.13,15.95,78.6,18,0,9.37,LY,12/5/2020 14:42
194,Komsomolskiy,40.43,71.72,35.6,64,100,4.7,UZ,12/5/2020 14:42
195,Deputatskiy,69.3,139.9,-16.82,89,100,4.03,RU,12/5/2020 14:42
196,Nantucket,41.28,-70.1,51.8,93,90,14.99,US,12/5/2020 14:38
197,Le Port,-20.94,55.29,80.6,74,75,8.05,RE,12/5/2020 14:40
198,Porto Belo,-27.16,-48.55,68,94,90,10.29,BR,12/5/2020 14:42
199,Umm Lajj,25.02,37.27,74.73,45,0,12.3,SA,12/5/2020 14:42
200,Miyako,39.64,141.95,39.15,73,1,4.61,JP,12/5/2020 14:42
201,Port Elizabeth,-33.92,25.57,69.8,77,75,16.11,ZA,12/5/2020 14:42
202,Shache,38.42,77.24,19.96,91,15,1.66,CN,12/5/2020 14:42
203,Castro,-24.79,-50.01,69.31,83,98,9.08,BR,12/5/2020 14:37
204,Soubre,5.79,-6.61,88,55,98,1.45,CI,12/5/2020 14:42
205,Krasnyy Yar,46.53,48.35,26.6,38,0,8.95,RU,12/5/2020 14:42
206,Kem,64.96,34.58,34.21,97,100,13.78,RU,12/5/2020 14:42
207,Inongo,-1.95,18.27,76.82,80,33,6.62,CD,12/5/2020 14:42
208,Yar-Sale,66.83,70.83,10.99,94,51,10.74,RU,12/5/2020 14:42
209,Mason City,43.15,-93.2,24.8,92,1,1.05,US,12/5/2020 14:42
210,Gainesville,29.65,-82.32,53.01,76,1,6.93,US,12/5/2020 14:37
211,Whitehorse,60.72,-135.05,19,92,90,6.93,CA,12/5/2020 14:39
212,Talnakh,69.49,88.4,19.4,85,75,26.84,RU,12/5/2020 14:42
213,Rio Grande,-32.03,-52.1,71.6,46,40,13.87,BR,12/5/2020 14:39
214,Shingu,33.73,135.98,45.01,70,0,5.59,JP,12/5/2020 14:42
215,Gorom-Gorom,14.44,-0.24,98.19,9,37,5.91,BF,12/5/2020 14:42
216,Biak,-0.91,122.88,78.82,79,69,3.2,ID,12/5/2020 14:42
217,Ordu,40.91,37.68,53.6,100,40,2.24,TR,12/5/2020 14:40
218,Eldoret,0.52,35.27,67.44,55,19,8.23,KE,12/5/2020 14:38
219,Ulladulla,-35.35,150.47,73,60,40,19.46,AU,12/5/2020 14:42
220,Haines Junction,60.75,-137.51,12.2,72,100,9.17,CA,12/5/2020 14:42
221,Pecos,31.42,-103.49,33.8,31,40,5.82,US,12/5/2020 14:42
222,Pacific Grove,36.62,-121.92,42.8,60,1,5.82,US,12/5/2020 14:42
223,Walvis Bay,-22.96,14.51,64.99,74,12,12.39,NA,12/5/2020 14:42
224,Norman Wells,65.28,-126.83,14,92,75,5.82,CA,12/5/2020 14:42
225,Ponta Do Sol,32.67,-17.1,62.6,67,40,10.29,PT,12/5/2020 14:42
226,Svetlyy,54.67,20.13,48.2,76,0,15.66,RU,12/5/2020 14:42
227,Quatre Cocos,-20.21,57.76,80.6,74,75,4.7,MU,12/5/2020 14:42
228,Kieta,-6.22,155.63,79.2,75,43,4.12,PG,12/5/2020 14:42
229,Porto Novo,6.5,2.6,87.8,70,20,13.87,BJ,12/5/2020 14:42
230,Ancud,-41.87,-73.82,64.99,55,0,13.87,CL,12/5/2020 14:42
231,Jadu,31.95,12.03,65.66,46,0,9.19,LY,12/5/2020 14:42
232,Narasannapeta,18.42,84.05,71.82,77,55,7.74,IN,12/5/2020 14:42
233,Lerwick,60.15,-1.15,42.8,87,75,11.41,GB,12/5/2020 14:42
234,Hovd,48.01,91.64,3.76,70,0,0.81,MN,12/5/2020 14:42
235,Lovozero,68,35.01,26.22,96,100,5.26,RU,12/5/2020 14:42
